MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
McGarry Tp,Kowbassa,Dimitri,LOCAL COUNCILLOR,193,,ELECTED,NO,NO
McGarry Tp,Toupin-Keft,Annie,LOCAL COUNCILLOR,189,,ELECTED,YES,NO
McKellar Tp,HOPKINS,PETER,REEVE,972,"1,451",ELECTED,YES,NO
McKellar Tp,ANCINELLI,MARCO,LOCAL COUNCILLOR,657,"1,433",ELECTED,NO,NO
McKellar Tp,CARMICHAEL,DON,LOCAL COUNCILLOR,866,"1,433",ELECTED,NO,NO
McKellar Tp,HASKIM,MORLEY,LOCAL COUNCILLOR,906,"1,433",ELECTED,YES,NO
McKellar Tp,KEKKONEN,MIKE,LOCAL COUNCILLOR,799,"1,433",ELECTED,YES,NO
McMurrich-Monteith Tp,WALTON,RON,REEVE,395,,ELECTED,YES,NO
McMurrich-Monteith Tp,BANKA,DENNIS,LOCAL COUNCILLOR,362,,ELECTED,NO,NO
McMurrich-Monteith Tp,FRIESEN,ANGELA,LOCAL COUNCILLOR,407,,ELECTED,YES,NO
McMurrich-Monteith Tp,O'HALLORAN,DANIEL,LOCAL COUNCILLOR,356,,ELECTED,YES,NO
McMurrich-Monteith Tp,ZEMNICKY,LYNNE,LOCAL COUNCILLOR,337,,ELECTED,NO,NO
McNab-Braeside Tp,Peckett,Tom,MAYOR,"1,446","2,606",ELECTED,YES,NO
McNab-Braeside Tp,Armsden,Brian,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
McNab-Braeside Tp,Lang,Heather,LOCAL COUNCILLOR,"1,774","6,922",ELECTED,YES,NO
McNab-Braeside Tp,Brum,Scott,LOCAL COUNCILLOR,"1,691","6,922",ELECTED,YES,NO
McNab-Braeside Tp,Jacob,Oliver,LOCAL COUNCILLOR,"1,212","6,922",ELECTED,NO,NO
Meaford M,Clumpus,Barb,Mayor,"2,208","4,393",ELECTED,YES,NO
Meaford M,Keaveney,Shirley,Deputy Mayor,"2,906","4,357",ELECTED,YES,NO
Meaford M,Bartley,Steve,LOCAL COUNCILLOR,"2,436","4,464",ELECTED,YES,NO
Meaford M,Bell,Tony,LOCAL COUNCILLOR,"2,485","4,464",ELECTED,YES,NO
Meaford M,Greenfield,Harley,LOCAL COUNCILLOR,"2,274","4,464",ELECTED,YES,NO
Meaford M,Kentner,Ross,LOCAL COUNCILLOR,"3,180","4,464",ELECTED,NO,NO
Meaford M,Vickers,Paul,LOCAL COUNCILLOR,"2,429","4,464",ELECTED,NO,NO
Melancthon Tp,WHITE,DARREN,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Melancthon Tp,BESLEY,DAVID,DEPUTY MAYOR,414,597,ELECTED,YES,NO
Melancthon Tp,HANNON,WAYNE,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Melancthon Tp,MERCER,MARGARET,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Melancthon Tp,THWAITES,DAVID,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Merrickville-Wolford V,Struthers,Doug,Mayor,609,"1,475",ELECTED,NO,NO
Merrickville-Wolford V,Foster,Bob,LOCAL COUNCILLOR,397,"1,036",ELECTED,NO,NO
Merrickville-Wolford V,Molloy,Timothy,LOCAL COUNCILLOR,332,"1,036",ELECTED,NO,NO
Merrickville-Wolford V,Cameron,Michael,LOCAL COUNCILLOR,550,"1,548",ELECTED,NO,NO
Merrickville-Wolford V,Halpenny,Don,LOCAL COUNCILLOR,451,"1,548",ELECTED,NO,NO
Middlesex Centre M,DeViet,Aina,Mayor,"2,808","5,200",ELECTED,YES,NO
Middlesex Centre M,Brennan,John,Deputy Mayor,"3,012","5,154",ELECTED,YES,NO
Middlesex Centre M,Scott,Brad,LOCAL COUNCILLOR,475,775,ELECTED,NO,NO
Middlesex Centre M,Silva,Derek,LOCAL COUNCILLOR,826,"1,323",ELECTED,YES,NO
Middlesex Centre M,Heffernan,Debbie,LOCAL COUNCILLOR,755,"1,461",ELECTED,NO,NO
Middlesex Centre M,Shipley,Wayne,LOCAL COUNCILLOR,489,813,ELECTED,NO,NO
Middlesex Centre M,Aerts,Hugh,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Middlesex Co,Smith,Kurtis,WARDEN,,,,YES,NO
Middlesex Co,Burghardt-Jesson,Cathy,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Deviet,Aina,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Brennan,John,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Middlesex Co,Ropp,Brian,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Cornelissen,Adrian,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Middlesex Co,Mayhew,Allan,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Middlesex Co,Wilkins,Marigay,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Vanderheyden,Joanne,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Richards,Brad,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Middlesex Co,Warwick,Alison,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Middlesex Co,Elliott,Kelly,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Midland T,Strathearn,Stewart,MAYOR,"1,851","4,623",ELECTED,YES,NO
Midland T,Ross,Mike,DEPUTY MAYOR,"2,297","4,487",ELECTED,YES,NO
Midland T,Main,Jonathan,LOCAL COUNCILLOR,"1,060","4,882",ELECTED,YES,NO
Midland T,Downer,Jim,LOCAL COUNCILLOR,890,"4,882",ELECTED,NO,NO
Midland T,Prost,Beth,LOCAL COUNCILLOR,740,"4,882",ELECTED,NO,NO
Midland T,Oschefski,Cody,LOCAL COUNCILLOR,"1,066","4,451",ELECTED,YES,NO
Midland T,Gordon,Bill,LOCAL COUNCILLOR,752,"4,451",ELECTED,NO,NO
Midland T,McGinn,Carole,LOCAL COUNCILLOR,601,"4,451",ELECTED,NO,NO
Midland T,Cunningham,Cher,LOCAL COUNCILLOR,299,733,ELECTED,NO,NO
Milton T,Krantz,Gord,Mayor,"18,571","22,751",ELECTED,YES,NO
Milton T,Best,Colin,REGIONAL COUNCILLOR,"6,509","7,043",ELECTED,YES,NO
Milton T,Malboeuf,Rick,REGIONAL COUNCILLOR,"3,817","7,175",ELECTED,YES,NO
Milton T,Cluett,Mike,REGIONAL COUNCILLOR,"3,673","4,501",ELECTED,YES,NO
Milton T,Hamid,Zeeshan,REGIONAL COUNCILLOR,"2,100","3,855",ELECTED,YES,NO
Milton T,Derksen,Kristina Tesser,LOCAL COUNCILLOR,"3,457","7,102",ELECTED,NO,NO
Milton T,Challinor,John,LOCAL COUNCILLOR,"2,036","7,292",ELECTED,NO,NO
Milton T,Di Lorenzo,Rick,LOCAL COUNCILLOR,"2,369","4,549",ELECTED,YES,NO
Milton T,Ali,Sameera,LOCAL COUNCILLOR,"1,767","3,734",ELECTED,NO,NO
Minden Hills Tp,Devolin,Brent,MAYOR,"1,720","3,757",ELECTED,YES,NO
Minden Hills Tp,Schell,Lisa,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Minden Hills Tp,Nesbitt,Ron,LOCAL COUNCILLOR,"1,829","3,607",ELECTED,YES,NO
Minden Hills Tp,Carter,Bob,LOCAL COUNCILLOR,"1,101","3,956",ELECTED,NO,NO
Minden Hills Tp,Hughey,Jennifer,LOCAL COUNCILLOR,"1,131","3,956",ELECTED,NO,NO
Minden Hills Tp,Sayne,Pam,LOCAL COUNCILLOR,686,926,ELECTED,YES,NO
Minden Hills Tp,Neville,Jean,LOCAL COUNCILLOR,309,591,ELECTED,YES,NO
Minto T,Bridge,George,MAYOR,"1,722","3,212",ELECTED,YES,NO
Minto T,Turton,David,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
Minto T,Anderson,Jean,LOCAL COUNCILLOR,"2,386","13,079",ELECTED,YES,NO
Minto T,Dirksen,Judy,LOCAL COUNCILLOR,"2,302","13,079",ELECTED,YES,NO
Minto T,Elliot,Ron B,LOCAL COUNCILLOR,"1,876","13,079",ELECTED,YES,NO
Minto T,Gunson,Geoff,LOCAL COUNCILLOR,"2,026","13,079",ELECTED,NO,NO
Minto T,Mackenzie,Mark R,LOCAL COUNCILLOR,"1,766","13,079",ELECTED,NO,NO
Mississauga C,Crombie,Bonnie,MAYOR,"91,422","119,229",ELECTED,YES,NO
Mississauga C,Dasko,Stephen,LOCAL COUNCILLOR,"4,484","9,423",ELECTED,NO,NO
Mississauga C,Ras,Karen,LOCAL COUNCILLOR,"7,820","8,429",ELECTED,YES,NO
Mississauga C,Fonseca,Chris,LOCAL COUNCILLOR,"8,337","11,224",ELECTED,YES,NO
Mississauga C,Kovac,John,LOCAL COUNCILLOR,"5,818","11,038",ELECTED,YES,NO
Mississauga C,Parrish,Carolyn,LOCAL COUNCILLOR,"6,798","10,644",ELECTED,YES,NO
Mississauga C,Starr,Ron,LOCAL COUNCILLOR,"4,859","13,406",ELECTED,YES,NO
Mississauga C,Damerla,Dipka,LOCAL COUNCILLOR,"4,566","11,068",ELECTED,YES,NO
Mississauga C,Mahoney,Matt,LOCAL COUNCILLOR,"9,979","12,522",ELECTED,YES,NO
Mississauga C,Saito,Pat,LOCAL COUNCILLOR,"7,732","9,922",ELECTED,YES,NO
Mississauga C,Mcfadden,Sue,LOCAL COUNCILLOR,"10,438","11,583",ELECTED,YES,NO
Mississauga C,Carlson,George,LOCAL COUNCILLOR,"6,581","9,541",ELECTED,YES,NO
Mississippi Mills M,Lowry,Christa,MAYOR,"2,798","6,387",ELECTED,YES,NO
Mississippi Mills M,Levi,John,DEPUTY MAYOR,"2,985","6,371",ELECTED,NO,NO
Mississippi Mills M,Dalgity,John,LOCAL COUNCILLOR,"1,538","5,481",ELECTED,NO,NO
Mississippi Mills M,Maydan,Janet A.,LOCAL COUNCILLOR,"1,380","5,481",ELECTED,NO,NO
Mississippi Mills M,Holmes,Bev,LOCAL COUNCILLOR,"1,285","4,436",ELECTED,NO,NO
Mississippi Mills M,Guerard,Cynthia,LOCAL COUNCILLOR,"1,238","4,436",ELECTED,NO,NO
Mississippi Mills M,Ferguson,Denzil (Denny),LOCAL COUNCILLOR,630,977,ELECTED,YES,NO
Mono T,Ryan,Laura,MAYOR,"1,770","2,337",ELECTED,YES,NO
Mono T,Creelman,John,DEPUTY MAYOR,"1,639","2,327",ELECTED,NO,NO
Mono T,Manktelow,Ralph,LOCAL COUNCILLOR,"1,456","6,102",ELECTED,YES,NO
Mono T,Martin,Sharon,LOCAL COUNCILLOR,"1,256","6,102",ELECTED,YES,NO
Mono T,Nix,Fred,LOCAL COUNCILLOR,"1,257","6,102",ELECTED,YES,NO
Montague Tp,DOBSON,BILL,REEVE,953,"1,479",ELECTED,YES,NO
Montague Tp,VAN DER MEER,KLAAS,DEPUTY REEVE,515,"1,472",ELECTED,YES,NO
Montague Tp,CARROLL,JEFFREY,LOCAL COUNCILLOR,917,"3,840",ELECTED,NO,NO
Montague Tp,JENNINGS,KAREN,LOCAL COUNCILLOR,862,"3,840",ELECTED,NO,NO
Montague Tp,STREIGHT,IAN,LOCAL COUNCILLOR,871,"3,840",ELECTED,YES,NO
Moonbeam Tp,FORTIER LEVESQUE,NICOLE,MAYOR,352,786,ELECTED,YES,NO
Moonbeam Tp,COTE,ERIC,LOCAL COUNCILLOR,380,"2,111",ELECTED,NO,YES
Moonbeam Tp,GIBSON DEMERS,JESSICA,LOCAL COUNCILLOR,530,"2,111",ELECTED,NO,NO
Moonbeam Tp,HACHEZ,GHISLAIN,LOCAL COUNCILLOR,432,"2,111",ELECTED,YES,NO
Moonbeam Tp,HARVEY,MICHEL,LOCAL COUNCILLOR,393,"2,111",ELECTED,NO,NO
Moosonee T,Taipale,Wayne,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Moosonee T,Tozer,Carmen,LOCAL COUNCILLOR,146,512,ELECTED,YES,NO
Moosonee T,Birnie,Theresa,LOCAL COUNCILLOR,134,512,ELECTED,YES,NO
Moosonee T,Tourville,Tony,LOCAL COUNCILLOR,121,512,ELECTED,YES,NO
Moosonee T,Hutchison,Jack,LOCAL COUNCILLOR,111,512,ELECTED,YES,NO
Morley Tp,HEYENS,GEORGE,REEVE, -   , -   ,ACCLAIMED,YES,NO
Morley Tp,ARMSTRONG,ANTHONY,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Morley Tp,MCCORMICK,ANDREW,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Morley Tp,JOLICOUER,GARY,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Morley Tp,VANDENBRAND,MARIA,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Morris-Turnberry M,Heffer,Jamie,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Morris-Turnberry M,Zinn,Sharen,LOCAL COUNCILLOR,734,"3,718",ELECTED,YES,NO
Morris-Turnberry M,Freiburger,Kevin,LOCAL COUNCILLOR,665,"3,718",ELECTED,NO,NO
Morris-Turnberry M,McCallum,Jamie,LOCAL COUNCILLOR,614,"3,718",ELECTED,NO,NO
Morris-Turnberry M,Nelemans,Jim,LOCAL COUNCILLOR,563,"3,718",ELECTED,YES,NO
Mulmur Tp,HORNER,JANET,MAYOR,887,"1,511",ELECTED,YES,NO
Mulmur Tp,HAWKINS,EARL,DEPUTY MAYOR,862,"1,500",ELECTED,YES,NO
Mulmur Tp,BOXEM,SHIRLEY,LOCAL COUNCILLOR,"1,021","3,618",ELECTED,NO,NO
Mulmur Tp,CLARK,PATRICIA,LOCAL COUNCILLOR,886,"3,618",ELECTED,NO,NO
Mulmur Tp,CUFARO,KEN,LOCAL COUNCILLOR,837,"3,618",ELECTED,NO,NO
Muskoka D,Smith,Graydon,LOCAL AND DISTRICT COUNCILLOR,"4,457","5,874",ELECTED,YES,NO
Muskoka D,Clement,Steve,LOCAL AND DISTRICT COUNCILLOR,"4,195","14,527",ELECTED,YES,NO
Muskoka D,Maloney,Rick,LOCAL AND DISTRICT COUNCILLOR,"4,258","14,527",ELECTED,NO,NO
Muskoka D,Smith,Don,LOCAL AND DISTRICT COUNCILLOR,"4,325","14,527",ELECTED,YES,NO
Muskoka D,WIANCKO,PAUL,LOCAL AND DISTRICT COUNCILLOR,"1,189",877,ELECTED,YES,NO
Muskoka D,COOPER,PETER,LOCAL AND DISTRICT COUNCILLOR,"1,010",449,ELECTED,YES,NO
Muskoka D,KOETSIER,PETER,LOCAL AND DISTRICT COUNCILLOR,"2,268","3,576",ELECTED,NO,NO
Muskoka D,Kelly,Paul,LOCAL AND DISTRICT COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Muskoka D,Cairns,Sandy,LOCAL AND DISTRICT COUNCILLOR,"2,791","10,317",ELECTED,YES,NO
Muskoka D,Gordon,John,LOCAL AND DISTRICT COUNCILLOR,"2,382","10,317",ELECTED,NO,NO
Muskoka D,Lorenz,Heidi,LOCAL AND DISTRICT COUNCILLOR,"2,809","10,317",ELECTED,NO,NO
Muskoka D,Harding,Phil,LOCAL AND DISTRICT COUNCILLOR,"5,324","6,904",ELECTED,YES,NO
Muskoka D,Nishikawa,Ruth-Ellen,LOCAL AND DISTRICT COUNCILLOR,"1,142","1,570",ELECTED,YES,NO
Muskoka D,Edwards,Allen,LOCAL AND DISTRICT COUNCILLOR,"1,765","2,061",ELECTED,YES,NO
Muskoka D,Jaglowitz,Frank,LOCAL AND DISTRICT COUNCILLOR,"2,578","3,095",ELECTED,NO,NO
Muskoka D,Glover,Terry,LOCAL AND DISTRICT COUNCILLOR,"1,434","3,027",ELECTED,NO,NO
Muskoka D,Peppard,Mike,LOCAL AND DISTRICT COUNCILLOR,956,"1,501",ELECTED,NO,NO
Muskoka D,Lacroix,Robert,LOCAL AND DISTRICT COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Muskoka D,Aitchison,Scott,LOCAL AND DISTRICT COUNCILLOR,"5,318","6,499",ELECTED,YES,NO
Muskoka D,Alcock,Nancy,LOCAL AND DISTRICT COUNCILLOR,"3,931","17,063",ELECTED,YES,NO
Muskoka D,Thompson,Brian,LOCAL AND DISTRICT COUNCILLOR,"3,258","17,063",ELECTED,YES,NO
Muskoka D,Withey,Tim,LOCAL AND DISTRICT COUNCILLOR,"3,981","17,063",ELECTED,NO,NO
Muskoka D,Klinck,John,DISTRICT CHAIR,,,ELECTED,YES,NO
Muskoka Lakes Tp,Harding,Phil,MAYOR,"5,324","6,904",ELECTED,YES,NO
Muskoka Lakes Tp,Nishikawa,Ruth-Ellen,LOCAL AND DISTRICT COUNCILLOR,"1,142","1,570",ELECTED,YES,NO
Muskoka Lakes Tp,Hayes,Donelda,LOCAL COUNCILLOR,"1,171","2,706",ELECTED,YES,NO
Muskoka Lakes Tp,Zavitz,Glenn,LOCAL COUNCILLOR,"1,221","2,706",ELECTED,NO,NO
Muskoka Lakes Tp,Edwards,Allen,LOCAL AND DISTRICT COUNCILLOR,"1,765","2,061",ELECTED,YES,NO
Muskoka Lakes Tp,Mazan,Susan,LOCAL COUNCILLOR,"1,602","3,842",ELECTED,NO,NO
Muskoka Lakes Tp,Roberts,Gordon,LOCAL COUNCILLOR,"1,536","3,842",ELECTED,NO,NO
Muskoka Lakes Tp,Jaglowitz,Frank,LOCAL AND DISTRICT COUNCILLOR,"2,578","3,095",ELECTED,NO,NO
Muskoka Lakes Tp,Bridgeman,Barb,LOCAL COUNCILLOR,"2,532","5,643",ELECTED,NO,NO
Muskoka Lakes Tp,Kelley,Peter,LOCAL COUNCILLOR,"2,502","5,643",ELECTED,NO,NO
Nairn and Hyman Tp,Falldien,Laurier,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Nairn and Hyman Tp,Diebel,Frederic,LOCAL COUNCILLOR,113,508,ELECTED,NO,NO
Nairn and Hyman Tp,Gingras,Brigita,LOCAL COUNCILLOR,76,508,ELECTED,YES,NO
Nairn and Hyman Tp,Bourrier,Kathy,LOCAL COUNCILLOR,73,508,ELECTED,YES,NO
Nairn and Hyman Tp,MacDonald,Rod,LOCAL COUNCILLOR,113,508,ELECTED,NO,NO
Neebing M,BUTIKOFER,Erwin,MAYOR,378,466,ELECTED,YES,NO
Neebing M,CUTHBERTSON,Gordon,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Neebing M,THIBERT,Mark Roger,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Neebing M,WRIGHT,Brian,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Neebing M,COULSON,Curtis,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Neebing M,GARDNER,Gary,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Neebing M,KURIKKA,Brian,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
New Tecumseth T,Milne,Rick,MAYOR,"5,959","9,323",ELECTED,YES,NO
New Tecumseth T,Norcross,Richard,DEPUTY MAYOR,"4,407","9,196",ELECTED,YES,NO
New Tecumseth T,Noye,Wayne,LOCAL COUNCILLOR,579,"1,292",ELECTED,NO,NO
New Tecumseth T,Beattie,Michael,LOCAL COUNCILLOR,596,981,ELECTED,YES,NO
New Tecumseth T,Foster,Paul,LOCAL COUNCILLOR,568,"1,107",ELECTED,NO,NO
New Tecumseth T,Sainsbury,Fran,LOCAL COUNCILLOR,"1,289","1,656",ELECTED,YES,NO
New Tecumseth T,Jebb,Donna,LOCAL COUNCILLOR,288,468,ELECTED,YES,NO
New Tecumseth T,MacLellan,Stephanie,LOCAL COUNCILLOR,588,"1,300",ELECTED,NO,NO
New Tecumseth T,McIntyre,Shira,LOCAL COUNCILLOR,694,"1,326",ELECTED,YES,NO
New Tecumseth T,Lacey,Alan,LOCAL COUNCILLOR,491,"1,226",ELECTED,NO,NO
Newbury V,Brewer,Diane,REEVE, -   , -   ,ACCLAIMED,YES,NO
Newbury V,Challis,Ron,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Newbury V,Noe,Mike,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Newbury V,Patton,Russ,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Newbury V,Larocque,Yves,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Newmarket T,Taylor,John,MAYOR,"14,351","19,470",ELECTED ,yes,no
Newmarket T,Vegh,Tom,DEPUTY MAYOR,"8,570","19,210",ELECTED ,yes,no
Newmarket T,Simon,Grace,LOCAL COUNCILLOR,"2,082","3,433",ELECTED ,no,no
Newmarket T,Woodhouse,Victor,LOCAL COUNCILLOR,"1,731","2,772",ELECTED ,no,no
Newmarket T,Twinney,Jane,LOCAL COUNCILLOR,"1,645","2,253",ELECTED ,yes,no
Newmarket T,Morrison,Trevor,LOCAL COUNCILLOR,"1,052","2,440",ELECTED ,no,no
Newmarket T,Kwapis,Bob,LOCAL COUNCILLOR,"2,201","3,007",ELECTED ,Yes,no
Newmarket T,Broome,Kelly,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,yes,no
Newmarket T,Bisanz,Christina,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,yes,no
Niagara Falls C,Diodati,Jim,MAYOR,"13,875","23,884",ELECTED,YES,NO
Niagara Falls C,Strange,Mike,LOCAL COUNCILLOR,"12,021","135,852",ELECTED,YES,NO
Niagara Falls C,Pietrangelo,Victor,LOCAL COUNCILLOR,"8,846","135,852",ELECTED,YES,NO
Niagara Falls C,Thomson,Wayne,LOCAL COUNCILLOR,"8,355","135,852",ELECTED,YES,NO
Niagara Falls C,Lococo,Lori,LOCAL COUNCILLOR,"7,666","135,852",ELECTED,NO,NO
Niagara Falls C,Campbell,Wayne,LOCAL COUNCILLOR,"7,413","135,852",ELECTED,YES,NO
Niagara Falls C,Kerrio,Vince,LOCAL COUNCILLOR,"7,356","135,852",ELECTED,YES,NO
Niagara Falls C,Dabrowski,Chris,LOCAL COUNCILLOR,"7,130","135,852",ELECTED,NO,NO
Niagara Falls C,Ioannoni,Carolynn,LOCAL COUNCILLOR,"7,015","135,852",ELECTED,YES,NO
Niagara Falls C,Nicholson,Peter,REGIONAL COUNCILLOR,"9,674","54,207",ELECTED,NO,NO
Niagara Falls C,Greenwood,Barbara,REGIONAL COUNCILLOR,"7,653","54,207",ELECTED,NO,NO
Niagara Falls C,Gale,Bob,REGIONAL COUNCILLOR,"7,211","54,207",ELECTED,YES,NO
Niagara R,Redekop,Wayne,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Insinna,Tom,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Jordan,Jeff A. ,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Fertich,Wayne,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Easton,Sandra,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Foster,Robert,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Disero,Betty,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Zalepa Jr.,Gary,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Junkin,Marvin,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Huson,Diana,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Sendzik,Walter,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Rigby,Tim,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Heit,Brian,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Bellows,Sandie,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Bradley,Jim,REGIONAL CHAIR,,,,NO,NO
Niagara R,Darte,George,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Ip,Laura,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Ugulini,Terry,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Whalen,Tim,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Gibson,Kevin,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Campion,Frank,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Chiocchio,Pat,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Viella,Leanna,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Bylsma,David,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Witteveen,Albert,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Diodati,Jim,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Niagara R,Gale,Bob,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Nicholson,Peter,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Greenwood,Barbara,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Steele,Bill,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara R,Butters,Barb,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Niagara-on-the-Lake T,Disero,Betty,MAYOR,"4,169","8,314",ELECTED,YES,NO
Niagara-on-the-Lake T,Cameron,Clare,LOCAL COUNCILLOR,"4,429","8,394",ELECTED,NO,NO
Niagara-on-the-Lake T,Wiens,Erwin,LOCAL COUNCILLOR,"4,169","8,394",ELECTED,NO,NO
Niagara-on-the-Lake T,Burroughs,Gary,LOCAL COUNCILLOR,"3,879","8,394",ELECTED,YES,NO
Niagara-on-the-Lake T,Wiens,John,LOCAL COUNCILLOR,"3,145","8,394",ELECTED,YES,NO
Niagara-on-the-Lake T,Cheropita,Wendy,LOCAL COUNCILLOR,"3,144","8,394",ELECTED,NO,NO
Niagara-on-the-Lake T,McCormack,Stuart,LOCAL COUNCILLOR,"2,915","8,394",ELECTED,NO,NO
Niagara-on-the-Lake T,Bisback,Allan,LOCAL COUNCILLOR,"2,631","8,394",ELECTED,NO,NO
Niagara-on-the-Lake T,Arsenault,Norm,LOCAL COUNCILLOR,"2,462","8,394",ELECTED,NO,NO
Nipigon Tp,Harvey,Richard,MAYOR,310,590,ELECTED,YES,NO
Nipigon Tp,Zechner,John ,LOCAL COUNCILLOR,500,"2,034",ELECTED,NO,NO
Nipigon Tp,Foulds,James,LOCAL COUNCILLOR,498,"2,034",ELECTED,YES,NO
Nipigon Tp,Elliott,Michael,LOCAL COUNCILLOR,385,"2,034",ELECTED,YES,NO
Nipigon Tp,Collins,Levina,LOCAL COUNCILLOR,318,"2,034",ELECTED,YES,NO
Nipissing Tp,PIPER,TOM,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Nipissing Tp,ANDERSEN,LINDA,LOCAL COUNCILLOR,303,396,ELECTED,YES,NO
Nipissing Tp,MARCHANT,TOM,LOCAL COUNCILLOR,274,396,ELECTED,YES,NO
